code,name,kana,market,industry,kana
2737,トーメンデバイス,トーメンデバイス,東証プライム,卸売業,トーメンデバイス
2742,ハローズ,ハローズ,東証プライム,小売業,ハローズ
2749,ＪＰホールディングス,ＪＰホールディングス,東証プライム,サービス業,ＪＰホールディングス
2752,フジオフードグループ本社,フジオフードグループホンシャ,東証プライム,小売業,フジオフードグループホンシャ
2753,あみやき亭,アミヤキテイ,東証プライム,小売業,アミヤキテイ
2760,東京エレクトロン　デバイス,トウキョウエレクトロン　デバイス,東証プライム,卸売業,トウキョウエレクトロン　デバイス
2767,円谷フィールズホールディングス,ツブラヤフィールズホールディングス,東証プライム,卸売業,ツブラヤフィールズホールディングス
2768,双日,ソウジツ,東証プライム,卸売業,ソウジツ
2784,アルフレッサ　ホールディングス,アルフレッサ　ホールディングス,東証プライム,卸売業,アルフレッサ　ホールディングス
2791,大黒天物産,ダイコクテンブッサン,東証プライム,小売業,ダイコクテンブッサン
2792,ハニーズホールディングス,ハニーズホールディングス,東証プライム,小売業,ハニーズホールディングス
2801,キッコーマン,キッコーマン,東証プライム,食料品,キッコーマン
2802,味の素,アジノモト,東証プライム,食料品,アジノモト
2804,ブルドックソース,ブルドックソース,東証プライム,食料品,ブルドックソース
2809,キユーピー,キユーピー,東証プライム,食料品,キユーピー
2810,ハウス食品グループ本社,ハウスショクヒングループホンシャ,東証プライム,食料品,ハウスショクヒングループホンシャ
2811,カゴメ,カゴメ,東証プライム,食料品,カゴメ
2815,アリアケジャパン,アリアケジャパン,東証プライム,食料品,アリアケジャパン
285A,キオクシアホールディングス,キオクシアホールディングス,東証プライム,電気機器,キオクシアホールディングス
2871,ニチレイ,ニチレイ,東証プライム,食料品,ニチレイ
2874,横浜冷凍,ヨコハマレイトウ,東証プライム,卸売業,ヨコハマレイトウ
2875,東洋水産,トウヨウスイサン,東証プライム,食料品,トウヨウスイサン
2882,イートアンドホールディングス,イートアンドホールディングス,東証プライム,食料品,イートアンドホールディングス
